Ind,Pop,Sex
1,Marsh,F
2,Marsh,F
3,Marsh,F
4,Marsh,F
5,Marsh,F
6,Marsh,F
7,Marsh,F
8,Marsh,F
9,Marsh,F
10,Marsh,F
11,Marsh,F
12,Marsh,F
13,Marsh,F
14,Marsh,F
15,Marsh,F
16,Marsh,F
17,Marsh,M
18,Marsh,M
19,Marsh,M
20,Marsh,M
21,Marsh,M
22,Marsh,M
23,Marsh,M
24,Marsh,M
25,Marsh,M
26,Marsh,M
27,Marsh,M
28,Marsh,M
29,Marsh,M
30,Sinkhole,F
31,Sinkhole,F
32,Sinkhole,F
33,Sinkhole,F
34,Sinkhole,F
35,Sinkhole,F
36,Sinkhole,F
37,Sinkhole,F
38,Sinkhole,F
39,Sinkhole,F
40,Sinkhole,F
41,Sinkhole,F
42,Sinkhole,M
43,Sinkhole,M
44,Sinkhole,M
45,Sinkhole,M
46,Sinkhole,M
47,Sinkhole,M
48,Sinkhole,M
49,Sinkhole,M
50,Sinkhole,M
51,Sinkhole,M
52,Sinkhole,M
53,Sinkhole,M
54,Sinkhole,M
