"ind","sex","pop","type","cs"
"1",1,"m","a","U",3.09619867884666
"2",2,"m","a","U",3.01944921498194
"3",3,"m","a","U",3.19184947632776
"4",4,"m","a","U",3.12096990553343
"5",5,"m","a","U",3.18464206443813
"6",6,"m","a","U",3.09426614220389
"7",7,"m","a","U",3.00073176979993
"8",8,"m","a","U",3.14825200653785
"9",9,"m","a","U",3.03860093027465
"10",10,"m","a","U",3.07348691969715
"11",11,"m","a","U",3.1301659085715
"12",12,"f","a","U",2.94220804208754
"13",13,"f","a","U",2.99075798997782
"14",14,"f","a","U",2.90409819701694
"15",15,"f","a","U",2.96897716340057
"16",16,"f","a","U",2.92569104011646
"17",17,"f","a","U",2.91860762600122
"18",18,"f","a","U",3.07644040654639
"19",19,"f","a","U",2.90927051100565
"20",20,"m","a","U",3.20574177193485
"21",21,"f","a","U",2.97700431524105
"22",22,"f","a","U",2.91994734870283
"23",23,"f","a","U",2.88383143956054
"24",24,"f","a","U",3.05778785146273
"25",25,"f","a","U",2.893200943933
"26",26,"m","a","U",3.10798453513043
"27",27,"m","a","U",3.14793046934759
"28",28,"m","a","U",3.146447601715
"29",29,"m","b","R",3.13254926061532
"30",30,"m","b","R",3.19625908155326
"31",31,"m","b","R",3.28554873353371
"32",32,"m","b","R",3.29165433108768
"33",33,"m","b","R",3.26678541707126
"34",34,"m","b","R",3.16444396078061
"35",35,"m","b","R",3.2196057911864
"36",36,"m","b","R",3.17327027746469
"37",37,"m","b","R",3.24908345223185
"38",38,"m","b","R",3.28823878768283
"39",39,"m","b","R",3.28764821126148
"40",40,"m","b","R",3.21500641706923
"41",41,"m","b","R",3.36051056830944
"42",42,"m","b","R",3.17061238332869
"43",43,"m","b","R",3.38824783923566
"44",44,"f","b","R",3.02607287179688
"45",45,"f","b","R",3.14953329572392
"46",46,"f","b","R",3.12612649322393
"47",47,"f","b","R",2.99363245215023
"48",48,"m","b","R",3.25322450449072
"49",49,"f","b","R",3.04117294827529
"50",50,"f","b","R",3.07522504919088
"51",51,"f","b","R",3.06508825664244
"52",52,"f","b","R",3.19020532207272
"53",53,"f","b","R",3.16291190709391
"54",54,"f","b","R",3.08942687173761
"55",55,"f","b","R",3.1544865816406
"56",56,"f","b","R",3.04842863673522
"57",57,"f","b","R",3.08732302887106
"58",58,"f","b","R",3.05736051619447
"59",59,"m","b","R",3.24845737692549
"60",60,"f","b","R",3.08763431176553
"61",61,"f","b","R",2.95178740185754
"62",62,"f","b","R",2.97091403975899
"63",63,"f","b","R",3.12472519785696
"64",64,"f","b","R",2.97219873827993
"65",65,"f","b","R",3.06322777735413
"66",66,"f","b","R",3.1438138703369
"67",67,"f","b","R",3.10616299185924
"68",68,"f","b","R",3.12774260383441
"69",69,"m","b","R",3.24603849061471
"70",70,"f","b","R",2.98640458636617
"71",71,"f","b","R",3.03989133476032
"72",72,"f","b","R",3.06952664694637
"73",73,"m","b","R",3.18969192332284
"74",74,"m","b","R",3.24025621775709
"75",75,"m","b","R",3.26088056401625
"76",76,"m","b","R",3.23646509342941
"77",77,"m","b","R",3.36984563771206
"78",78,"m","dd","R",3.2217340884988
"79",79,"f","dd","R",3.00296978277712
"80",80,"m","dd","R",3.16337928367464
"81",81,"f","dd","R",3.04569416429555
"82",82,"f","dd","R",3.08297497145644
"83",83,"m","dd","R",3.14309435136102
"84",84,"f","dd","R",3.12683334412852
"85",85,"f","dd","R",3.10799160854607
"86",86,"m","dd","R",3.19940840055361
"87",87,"f","dd","R",3.06088761942735
"88",88,"f","dd","R",3.08998466202961
"89",89,"f","dd","R",3.07228288199999
"90",90,"m","dd","R",3.16955111284761
"91",91,"m","dd","R",3.16437058479314
"92",92,"f","dd","R",3.13591995310167
"93",93,"f","dd","R",3.06212194612145
"94",94,"m","dd","R",3.22865279620403
"95",95,"f","dd","R",3.1571638620416
"96",96,"m","dd","R",3.22647607323488
"97",97,"f","dd","R",3.12443455836587
"98",98,"m","dd","R",3.2603228900522
"99",99,"m","dd","R",2.95122738272713
"100",100,"m","dd","R",2.94176328948223
"101",101,"f","dd","R",2.90378131063174
"102",102,"m","dd","R",3.1122814422151
"103",103,"m","dd","R",3.1537450254282
"104",104,"m","dd","R",3.18831991096394
"105",105,"f","dd","R",3.00667311622274
"106",106,"f","dd","R",2.96136183061387
"107",107,"m","dd","R",2.89199474970775
"108",108,"f","dd","R",2.97782797274712
"109",109,"f","dd","R",3.05663480901617
"110",110,"f","dd","R",3.04173529630597
"111",111,"f","e","U",3.15235409651355
"112",112,"f","e","U",2.9823988467936
"113",113,"f","e","U",2.96074626914877
"114",114,"f","e","U",3.00283822199698
"115",115,"m","e","U",3.09848805667711
"116",116,"m","e","U",3.1027483198757
